Linguagem_Tipo,Tamanho,Operacao,TempoMedio(ms),MemoriaMedia(bytes),TotalBlocos
CPP_ArrayManual,10000,adicaoIndice,0.000239143,35804883,157
CPP_ArrayManual,10000,busca,1.05877e-05,35804883,157
CPP_ArrayManual,10000,remocaoIndice,0.000233851,35804883,157
CPP_ArrayManual,10000,remocaoValor,0.000234557,35804883,157
CPP_ArrayManual,30000,adicaoIndice,0.00107965,35805718,157
CPP_ArrayManual,30000,busca,1.05965e-05,35805718,157
CPP_ArrayManual,30000,remocaoIndice,0.00107107,35805718,157
CPP_ArrayManual,30000,remocaoValor,0.00107149,35805718,157
CPP_ArrayManual,50000,adicaoIndice,0.00196646,35805718,157
CPP_ArrayManual,50000,busca,1.06252e-05,35805718,157
CPP_ArrayManual,50000,remocaoIndice,0.00195743,35805718,157
CPP_ArrayManual,50000,remocaoValor,0.00195799,35805718,157
CPP_ArrayManual,100000,adicaoIndice,0.00418296,35807858,157
CPP_ArrayManual,100000,busca,1.06944e-05,35807858,157
CPP_ArrayManual,100000,remocaoIndice,0.0041711,35807858,157
CPP_ArrayManual,100000,remocaoValor,0.0041716,35807858,157
CPP_ArrayNativo,10000,adicaoIndice,0.000238542,35805092,157
CPP_ArrayNativo,10000,busca,1.06234e-05,35805092,157
CPP_ArrayNativo,10000,remocaoIndice,0.00023389,35805092,157
CPP_ArrayNativo,10000,remocaoValor,0.000235802,35805092,157
CPP_ArrayNativo,30000,adicaoIndice,0.00108032,35805718,157
CPP_ArrayNativo,30000,busca,1.06376e-05,35805718,157
CPP_ArrayNativo,30000,remocaoIndice,0.00107171,35805718,157
CPP_ArrayNativo,30000,remocaoValor,0.00107337,35805718,157
CPP_ArrayNativo,50000,adicaoIndice,0.00196665,35806110,157
CPP_ArrayNativo,50000,busca,1.06695e-05,35806110,157
CPP_ArrayNativo,50000,remocaoIndice,0.00195761,35806110,157
CPP_ArrayNativo,50000,remocaoValor,0.00195945,35806110,157
CPP_ArrayNativo,100000,adicaoIndice,0.00418329,35808066,157
CPP_ArrayNativo,100000,busca,1.07323e-05,35808066,157
CPP_ArrayNativo,100000,remocaoIndice,0.00417133,35808066,157
CPP_ArrayNativo,100000,remocaoValor,0.00417302,35808066,157
