Linguagem_Tipo,Tamanho,Operacao,Tempo_Media(ms),Memoria(bytes)
Java_ArrayListManual,10000,adicaoInicio,0.013,0
Java_ArrayListBuildIn,10000,adicaoInicio,0.010,2664
Java_ArrayListManual,10000,busca,0.019,0
Java_ArrayListBuildIn,10000,busca,0.058,0
Java_ArrayListManual,10000,remocaoIndice,0.028,865
Java_ArrayListBuildIn,10000,remocaoIndice,0.051,730
Java_ArrayListManual,10000,remocaoValor,0.013,863
Java_ArrayListBuildIn,10000,remocaoValor,0.010,729
Java_ArrayListManual,30000,adicaoInicio,0.023,0
Java_ArrayListBuildIn,30000,adicaoInicio,0.018,2640
Java_ArrayListManual,30000,busca,0.034,0
Java_ArrayListBuildIn,30000,busca,0.107,0
Java_ArrayListManual,30000,remocaoIndice,0.046,0
Java_ArrayListBuildIn,30000,remocaoIndice,0.097,0
Java_ArrayListManual,30000,remocaoValor,0.021,0
Java_ArrayListBuildIn,30000,remocaoValor,0.018,0
Java_ArrayListManual,50000,adicaoInicio,0.037,0
Java_ArrayListBuildIn,50000,adicaoInicio,0.028,2641
Java_ArrayListManual,50000,busca,0.055,0
Java_ArrayListBuildIn,50000,busca,0.173,0
Java_ArrayListManual,50000,remocaoIndice,0.074,0
Java_ArrayListBuildIn,50000,remocaoIndice,0.154,0
Java_ArrayListManual,50000,remocaoValor,0.035,0
Java_ArrayListBuildIn,50000,remocaoValor,0.028,0
Java_ArrayListManual,100000,adicaoInicio,0.065,0
Java_ArrayListBuildIn,100000,adicaoInicio,0.050,2642
Java_ArrayListManual,100000,busca,0.098,0
Java_ArrayListBuildIn,100000,busca,0.362,0
Java_ArrayListManual,100000,remocaoIndice,0.131,0
Java_ArrayListBuildIn,100000,remocaoIndice,0.329,0
Java_ArrayListManual,100000,remocaoValor,0.062,0
Java_ArrayListBuildIn,100000,remocaoValor,0.048,0
