Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
CPP_ArrayManual,10000,adicaoInicio,0.000635,4395008
CPP_ArrayManual,10000,adicaoFinal,1.7e-05,4395008
CPP_ArrayManual,10000,busca,2.3e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000406,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000355,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000262,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000294,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000322,4395008
CPP_ArrayManual,10000,adicaoInicio,0.00024,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000272,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000312,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000234,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000271,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000325,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000238,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00027,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000313,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000238,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000269,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000311,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000237,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000271,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000316,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000238,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000271,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000318,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000239,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000269,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000307,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000246,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00028,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000321,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000237,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000271,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000307,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000239,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00027,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000316,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000248,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.00027,4395008
CPP_ArrayManual,10000,remocaoIndice,0.00032,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000235,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000269,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000317,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000239,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000267,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000314,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000249,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000315,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000309,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000235,4395008
CPP_ArrayManual,10000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,10000,busca,1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000279,4395008
CPP_ArrayManual,10000,remocaoIndice,0.00031,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000238,4395008
CPP_ArrayManual,10000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,10000,busca,1.1e-05,4395008
CPP_ArrayManual,10000,remocaoValor,0.000274,4395008
CPP_ArrayManual,10000,remocaoIndice,0.000312,4395008
CPP_ArrayManual,10000,adicaoInicio,0.000238,4395008
