Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
Python_ArrayManual,10000,adicaoIndice,0.254,228
Python_ArrayNativo,10000,adicaoIndice,0.056,160228
Python_ArrayManual,10000,busca,0.160,196
Python_ArrayNativo,10000,busca,0.161,196
Python_ArrayManual,10000,remocaoValor,0.249,264
Python_ArrayNativo,10000,remocaoValor,0.057,160228
Python_ArrayManual,10000,remocaoIndice,0.249,264
Python_ArrayNativo,10000,remocaoIndice,0.054,160228
Python_ArrayManual,30000,adicaoIndice,0.824,228
Python_ArrayNativo,30000,adicaoIndice,0.214,480228
Python_ArrayManual,30000,busca,0.522,196
Python_ArrayNativo,30000,busca,0.517,196
Python_ArrayManual,30000,remocaoValor,0.764,264
Python_ArrayNativo,30000,remocaoValor,0.208,480228
Python_ArrayManual,30000,remocaoIndice,0.805,264
Python_ArrayNativo,30000,remocaoIndice,0.208,480228
Python_ArrayManual,50000,adicaoIndice,1.355,228
Python_ArrayNativo,50000,adicaoIndice,0.381,800228
Python_ArrayManual,50000,busca,0.850,196
Python_ArrayNativo,50000,busca,0.848,196
Python_ArrayManual,50000,remocaoValor,1.438,264
Python_ArrayNativo,50000,remocaoValor,0.403,800228
Python_ArrayManual,50000,remocaoIndice,1.302,264
Python_ArrayNativo,50000,remocaoIndice,0.381,800228
Python_ArrayManual,100000,adicaoIndice,2.831,228
Python_ArrayNativo,100000,adicaoIndice,0.796,1600228
Python_ArrayManual,100000,busca,1.804,196
Python_ArrayNativo,100000,busca,1.789,196
Python_ArrayManual,100000,remocaoValor,2.838,264
Python_ArrayNativo,100000,remocaoValor,0.790,1600228
Python_ArrayManual,100000,remocaoIndice,2.761,264
Python_ArrayNativo,100000,remocaoIndice,0.799,1600228
