Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
Python_ArrayManual,10000,adicaoIndice,0.258,228
Python_ArrayNativo,10000,adicaoIndice,0.057,160228
Python_ArrayManual,10000,busca,0.161,196
Python_ArrayNativo,10000,busca,0.160,196
Python_ArrayManual,10000,remocaoValor,0.261,264
Python_ArrayNativo,10000,remocaoValor,0.055,160228
Python_ArrayManual,10000,remocaoIndice,0.260,264
Python_ArrayNativo,10000,remocaoIndice,0.054,160228
Python_ArrayManual,30000,adicaoIndice,0.819,228
Python_ArrayNativo,30000,adicaoIndice,0.213,480228
Python_ArrayManual,30000,busca,0.500,196
Python_ArrayNativo,30000,busca,0.501,196
Python_ArrayManual,30000,remocaoValor,0.808,264
Python_ArrayNativo,30000,remocaoValor,0.212,480228
Python_ArrayManual,30000,remocaoIndice,0.814,264
Python_ArrayNativo,30000,remocaoIndice,0.210,480228
Python_ArrayManual,50000,adicaoIndice,1.369,228
Python_ArrayNativo,50000,adicaoIndice,0.386,800228
Python_ArrayManual,50000,busca,0.913,196
Python_ArrayNativo,50000,busca,0.897,196
Python_ArrayManual,50000,remocaoValor,1.372,264
Python_ArrayNativo,50000,remocaoValor,0.384,800228
Python_ArrayManual,50000,remocaoIndice,1.481,264
Python_ArrayNativo,50000,remocaoIndice,0.365,800228
Python_ArrayManual,100000,adicaoIndice,2.942,228
Python_ArrayNativo,100000,adicaoIndice,0.785,1600228
Python_ArrayManual,100000,busca,1.726,196
Python_ArrayNativo,100000,busca,1.826,196
Python_ArrayManual,100000,remocaoValor,2.596,264
Python_ArrayNativo,100000,remocaoValor,0.797,1600228
Python_ArrayManual,100000,remocaoIndice,2.772,264
Python_ArrayNativo,100000,remocaoIndice,0.798,1600228
